State Name,Poverty,Infant Mort,White,Crime,Doctors,Traf Deaths,University,Unemployed,Income
Alabama,15.7,9,71,448,218.2,1.81,22,5,42666
Alaska,8.4,6.9,70.6,661,228.5,1.63,27.3,6.7,68460
Arizona,14.7,6.4,86.5,483,209.7,1.69,25.1,5.5,50958
Arkansas,17.3,8.5,80.8,529,203.4,1.96,18.8,5.1,38815
California,13.3,5,76.6,523,268.7,1.21,29.6,7.2,61021
Colorado,11.4,5.7,89.7,348,259.7,1.14,35.6,4.9,56993
Connecticut,9.3,6.2,84.3,256,376.4,0.86,35.6,5.7,68595
Delaware,10,8.3,74.3,689,250.9,1.23,27.5,4.8,57989
Florida,13.2,7.3,79.8,723,247.9,1.56,25.8,6.2,47778
Georgia,14.7,8.1,65.4,493,217.4,1.46,27.5,6.2,50861
Hawaii,9.1,5.6,29.7,273,317,1.33,29.1,3.9,67214
Idaho,12.6,6.8,94.6,239,168.8,1.6,24,4.9,47576
